index,Address,Monthly Rent,Property Type,Bath,Bed,Availability,Contact,URL,Lat,Long,Coordinates,GEOID,State,County,City,Neighborhood,RegionID,parent-location,population,renter-occupied-households,median-gross-rent,median-household-income,median-property-value,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,eviction-filings,evictions,2016_evict_rate,2016_evict_filing_rate,2011-2015_rent_perc_change,2015-2019_rent_perc_change,potential_bad_landlord,bad_landlord_address,num_stops_quart_mi,num_stops_half_mi,num_stops_3quart_mi,num_stops_1_mi,er_percentile,efr_percentile
4062781,"4948 S Laflin St G, Chicago, IL 60609",950,Apt,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062781,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146,"Cook County, Illinois",1515.0,407.0,804.0,31150.0,100000.0,9.97,26.27,63.37,0.0,0.33,11.0,6.0,1.47,2.7,0.0,0.08339828526890102,False,,0,0,0,0,0.2621534371439423,0.0887770603873908
4062788,"4948 S Laflin St 1, Chicago, IL 60609",950,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062788,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146,"Cook County, Illinois",1515.0,407.0,804.0,31150.0,100000.0,9.97,26.27,63.37,0.0,0.33,11.0,6.0,1.47,2.7,0.0,0.08339828526890102,False,,0,0,0,0,0.2621534371439423,0.0887770603873908
4062793,"4948 S Laflin St 2, Chicago, IL 60609",950,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062793,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146,"Cook County, Illinois",1515.0,407.0,804.0,31150.0,100000.0,9.97,26.27,63.37,0.0,0.33,11.0,6.0,1.47,2.7,0.0,0.08339828526890102,False,,0,0,0,0,0.2621534371439423,0.0887770603873908
4062795,"1352 W 64th St 1, Chicago, IL 60636",1150,Apt,2.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4062795,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261,"Cook County, Illinois",1441.0,448.0,638.0,18438.0,101000.0,1.18,93.48,1.46,0.0,0.0,38.0,11.0,2.46,8.48,-0.018268467037331215,0.0744336569579288,False,,0,2,2,4,0.48414356247626283,0.7173376376756552
4062806,"6024 S St Lawrnc Ave 2, Chicago, IL 60637",1350,Apt,1.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062806,41.785,-87.6112,POINT (-87.6112 41.785),170314206001,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",1303.0,356.0,750.0,18750.0,,0.0,97.54,1.38,0.0,0.0,29.0,10.0,2.81,8.15,-0.04661654135338346,0.026813880126182965,False,,0,4,4,6,0.5761488796050133,0.687998480820357
4062807,"6024 S St Lawrnc Ave 3, Chicago, IL 60637",1350,Apt,1.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062807,41.785,-87.6112,POINT (-87.6112 41.785),170314206001,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",1303.0,356.0,750.0,18750.0,,0.0,97.54,1.38,0.0,0.0,29.0,10.0,2.81,8.15,-0.04661654135338346,0.026813880126182965,False,,0,4,4,6,0.5761488796050133,0.687998480820357
4062810,"6621 S Marshfield Ave 1, Chicago, IL 60636",1350,Apt,1.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062810,41.7733,-87.665,POINT (-87.66500000000001 41.7733),170316715001,IL,Cook,Chicago,West Englewood,269612,"Cook County, Illinois",576.0,122.0,853.0,19750.0,101500.0,0.0,88.72,11.28,0.0,0.0,13.0,5.0,4.1,10.66,0.0024813895781637717,0.11303630363036303,False,,0,2,2,2,0.8131409039118875,0.8454234713254842
4062811,"6621 S Marshfield Ave 2, Chicago, IL 60636",1350,Apt,1.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062811,41.7733,-87.665,POINT (-87.66500000000001 41.7733),170316715001,IL,Cook,Chicago,West Englewood,269612,"Cook County, Illinois",576.0,122.0,853.0,19750.0,101500.0,0.0,88.72,11.28,0.0,0.0,13.0,5.0,4.1,10.66,0.0024813895781637717,0.11303630363036303,False,,0,2,2,2,0.8131409039118875,0.8454234713254842
4062815,"6718 S Clyde Ave 3s, Chicago, IL 60649",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062815,41.7728663,-87.5742095,POINT (-87.57420949999999 41.7728663),170314301014,IL,Cook,Chicago,South Shore,269608,"Cook County, Illinois",1149.0,494.0,918.0,30066.0,255300.0,1.48,96.87,0.0,0.0,0.0,54.0,20.0,4.05,10.93,-0.028191072826938137,0.038678485092667206,False,,0,0,0,0,0.8080136726167869,0.8674515761488796
4062817,"6805 S Langley Ave 1, Chicago, IL 60637",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062817,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356,"Cook County, Illinois",842.0,264.0,437.0,20488.0,127700.0,0.0,96.44,3.56,0.0,0.0,7.0,2.0,0.76,2.65,-0.023148148148148147,0.06398104265402843,False,,0,0,4,6,0.11811621724268895,0.08308013672616787
4062818,"6805 S Langley Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062818,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356,"Cook County, Illinois",842.0,264.0,437.0,20488.0,127700.0,0.0,96.44,3.56,0.0,0.0,7.0,2.0,0.76,2.65,-0.023148148148148147,0.06398104265402843,False,,0,0,4,6,0.11811621724268895,0.08308013672616787
4062819,"6805 S Langley Ave 3, Chicago, IL 60637",900,Apt,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062819,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356,"Cook County, Illinois",842.0,264.0,437.0,20488.0,127700.0,0.0,96.44,3.56,0.0,0.0,7.0,2.0,0.76,2.65,-0.023148148148148147,0.06398104265402843,False,,0,0,4,6,0.11811621724268895,0.08308013672616787
4062822,"7136 S East End Ave 3n, Chicago, IL 60649",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062822,41.7649399,-87.5839979,POINT (-87.5839979 41.7649399),170314305003,IL,Cook,Chicago,South Shore,269608,"Cook County, Illinois",750.0,348.0,783.0,40461.0,158200.0,0.0,99.07,0.4,0.0,0.0,32.0,16.0,4.6,9.2,-0.028191072826938137,0.038678485092667206,False,,0,0,0,0,0.8485567793391569,0.7854158754272693
4062827,"7136 S East End Ave 3s, Chicago, IL 60649",900,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062827,41.7649399,-87.5839979,POINT (-87.5839979 41.7649399),170314305003,IL,Cook,Chicago,South Shore,269608,"Cook County, Illinois",750.0,348.0,783.0,40461.0,158200.0,0.0,99.07,0.4,0.0,0.0,32.0,16.0,4.6,9.2,-0.028191072826938137,0.038678485092667206,False,,0,0,0,0,0.8485567793391569,0.7854158754272693
4062830,"8200 S Escanaba Ave 2r, Chicago, IL 60617",950,Apt,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062830,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437,"Cook County, Illinois",1453.0,268.0,903.0,20965.0,118200.0,1.65,93.81,4.54,0.0,0.0,16.0,8.0,2.99,5.97,0.02642113690952762,0.06708268330733229,False,,0,0,0,0,0.6358716293201672,0.4255601974933536
4062832,"8200 S Escanaba Ave A, Chicago, IL 60617",1300,Apt,2.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Apt/4062832,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437,"Cook County, Illinois",1453.0,268.0,903.0,20965.0,118200.0,1.65,93.81,4.54,0.0,0.0,16.0,8.0,2.99,5.97,0.02642113690952762,0.06708268330733229,False,,0,0,0,0,0.6358716293201672,0.4255601974933536
4062834,"8921 S Exchange Ave 1, Chicago, IL 60617",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062834,41.733001,-87.5522979,POINT (-87.5522979 41.733001),170318339001,IL,Cook,Chicago,South Chicago,140437,"Cook County, Illinois",1397.0,343.0,687.0,28171.0,118500.0,0.64,49.39,49.96,0.0,0.0,18.0,6.0,1.75,5.25,0.02642113690952762,0.06708268330733229,False,,0,0,0,0,0.3138055450056969,0.32140144322066083
4062835,"8921 S Exchange Ave 2, Chicago, IL 60617",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062835,41.733001,-87.5522979,POINT (-87.5522979 41.733001),170318339001,IL,Cook,Chicago,South Chicago,140437,"Cook County, Illinois",1397.0,343.0,687.0,28171.0,118500.0,0.64,49.39,49.96,0.0,0.0,18.0,6.0,1.75,5.25,0.02642113690952762,0.06708268330733229,False,,0,0,0,0,0.3138055450056969,0.32140144322066083
4062836,"7810 S Burnham Ave , Chicago, IL 60649",1350,House,2.0,5.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062836,41.7533,-87.5574,POINT (-87.5574 41.7533),170314313011,IL,Cook,Chicago,South Shore,269608,"Cook County, Illinois",309.0,194.0,1038.0,22500.0,91300.0,0.0,100.0,0.0,0.0,0.0,12.0,6.0,3.09,6.19,-0.028191072826938137,0.038678485092667206,False,,0,0,0,0,0.65894417014812,0.4434105582985188
4062839,"5722 S La Salle St 1, Chicago, IL 60621",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062839,41.7903,-87.6296,POINT (-87.6296 41.7903),170318346004,IL,Cook,Chicago,Englewood,138261,"Cook County, Illinois",1266.0,255.0,1019.0,25243.0,141700.0,0.0,98.18,1.82,0.0,0.0,13.0,6.0,2.35,5.1,-0.018268467037331215,0.0744336569579288,False,,0,2,6,8,0.4603114318268135,0.30981769844284085
4062841,"6832 S Dorchester Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062841,41.7705,-87.5914,POINT (-87.59139999999999 41.7705),170314303003,IL,Cook,Chicago,Grand Crossing,276349,"Cook County, Illinois",535.0,176.0,1047.0,,,0.0,100.0,0.0,0.0,0.0,8.0,2.0,1.14,4.55,-0.02107728337236534,0.058213716108452954,False,,0,0,0,0,0.19426509684770224,0.2269274591720471
4062844,"7746 S Greenwood Ave 2, Chicago, IL 60619",950,Apt,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062844,41.7536,-87.5983,POINT (-87.59829999999999 41.7536),170316915002,IL,Cook,Chicago,Grand Crossing,276349,"Cook County, Illinois",852.0,170.0,813.0,23616.0,112500.0,2.46,97.54,0.0,0.0,0.0,15.0,3.0,1.76,8.82,-0.02107728337236534,0.058213716108452954,False,,0,0,0,0,0.3170338017470566,0.7556019749335359
4062846,"6141 S Eberhart Ave 1, Chicago, IL 60637",1350,Apt,2.0,6.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-Apt/4062846,41.7827,-87.6129,POINT (-87.6129 41.7827),170314206002,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",826.0,423.0,759.0,16613.0,,13.08,85.23,1.21,0.0,0.48,29.0,6.0,1.42,6.86,-0.04661654135338346,0.026813880126182965,False,,2,4,4,8,0.2479111279908849,0.5399734143562476
4062847,"2023 N Drake Ave 3s, Chicago, IL 60647",950,Apt,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062847,41.918,-87.715,POINT (-87.715 41.918),170312210002,IL,Cook,Chicago,Logan Square,269592,"Cook County, Illinois",1471.0,370.0,1039.0,25560.0,222200.0,14.68,9.11,75.8,0.0,0.41,8.0,2.0,0.54,2.16,0.07522697795071336,0.038600723763570564,False,,0,0,0,4,0.07529434105582986,0.05753892897835169
4062848,"1306 E 69th St , Chicago, IL 60637",1350,House,2.0,5.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062848,41.7702,-87.5936,POINT (-87.5936 41.7702),170318418002,IL,Cook,Chicago,Grand Crossing,276349,"Cook County, Illinois",1976.0,385.0,873.0,32222.0,106300.0,0.0,95.6,2.94,0.0,0.0,24.0,9.0,2.34,6.23,-0.02107728337236534,0.058213716108452954,False,,0,0,0,2,0.4550892518040258,0.45167109760729207
4062862,"6832 S Prairie Ave , Chicago, IL 60637",1150,House,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-House/4062862,41.7701,-87.619,POINT (-87.619 41.7701),170316904001,IL,Cook,Chicago,Park Manor,403356,"Cook County, Illinois",777.0,220.0,930.0,20648.0,192700.0,0.0,98.33,0.0,1.67,0.0,10.0,1.0,0.45,4.55,-0.023148148148148147,0.06398104265402843,False,,0,2,4,8,0.06238131409039119,0.2269274591720471
4063978,"3638 W Thomas St 2, Chicago, IL 60651",900,Apt,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4063978,41.90104,-87.717954,POINT (-87.71795400000001 41.90104),170312312001,IL,Cook,Chicago,Humboldt Park,269585,"Cook County, Illinois",1242.0,268.0,909.0,20750.0,167400.0,0.0,22.46,77.54,0.0,0.0,23.0,4.0,1.49,8.58,0.05357142857142857,0.031387319522912745,False,,0,0,0,0,0.26652107861754654,0.7353778959361944
4064659,"6110 S Vernon Ave G, Chicago, IL 60637",900,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4064659,41.7835,-87.6147,POINT (-87.6147 41.7835),170314206001,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",1303.0,356.0,750.0,18750.0,,0.0,97.54,1.38,0.0,0.0,29.0,10.0,2.81,8.15,-0.04661654135338346,0.026813880126182965,False,,2,2,4,8,0.5761488796050133,0.687998480820357
4064660,"6022 S Rhodes Ave , Chicago, IL 60637",1200,Apt,1.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4064660,41.7851,-87.6124,POINT (-87.61239999999999 41.7851),170314206001,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",1303.0,356.0,750.0,18750.0,,0.0,97.54,1.38,0.0,0.0,29.0,10.0,2.81,8.15,-0.04661654135338346,0.026813880126182965,False,,0,4,4,6,0.5761488796050133,0.687998480820357
4066519,"8241 S Brandon Ave , Chicago, IL 60617",1200,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4066519,41.745393,-87.54634,POINT (-87.54634 41.745393),170314601001,IL,Cook,Chicago,The Bush,403359,"Cook County, Illinois",1131.0,358.0,858.0,40536.0,68900.0,5.48,71.26,23.25,0.0,0.0,24.0,8.0,2.23,6.7,,,False,,0,0,0,0,0.4387580706418534,0.5204139764527156
4068050,"7515 S Rhodes Ave , Chicago, IL 60619",1350,House,2.5,6.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-full-bathroom-rental-House/4068050,41.758,-87.6111,POINT (-87.61109999999999 41.758),170316914004,IL,Cook,Chicago,Chatham,273222,"Cook County, Illinois",674.0,180.0,960.0,28482.0,106500.0,0.0,98.07,0.0,0.0,0.0,7.0,4.0,2.22,3.89,-0.003000750187546887,0.08653122648607976,False,,0,0,0,2,0.4329661982529434,0.16872388909988606
4068790,"6730 S Laflin St , Chicago, IL 60636",1250,House,1.5,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4068790,41.7713,-87.6619,POINT (-87.6619 41.7713),170316716003,IL,Cook,Chicago,Englewood,138261,"Cook County, Illinois",420.0,110.0,1042.0,34583.0,103900.0,0.0,76.67,23.33,0.0,0.0,5.0,1.0,0.91,4.55,-0.018268467037331215,0.0744336569579288,False,,0,0,2,2,0.1496391948347892,0.2269274591720471
4069492,"7121 S Greenwood Ave 1, Chicago, IL 60619",900,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4069492,41.765327,-87.597898,POINT (-87.597898 41.765327),170318418002,IL,Cook,Chicago,Grand Crossing,276349,"Cook County, Illinois",1976.0,385.0,873.0,32222.0,106300.0,0.0,95.6,2.94,0.0,0.0,24.0,9.0,2.34,6.23,-0.02107728337236534,0.058213716108452954,False,,0,0,0,0,0.4550892518040258,0.45167109760729207
4076796,"6110 S Vernon Ave , Chicago, IL 60637",1250,Apt,1.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4076796,41.7835,-87.6147,POINT (-87.6147 41.7835),170314206001,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",1303.0,356.0,750.0,18750.0,,0.0,97.54,1.38,0.0,0.0,29.0,10.0,2.81,8.15,-0.04661654135338346,0.026813880126182965,False,,2,2,4,8,0.5761488796050133,0.687998480820357
4077614,"3334 W Walnut St , Chicago, IL 60624",1150,Apt,2.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4077614,41.8856,-87.7101,POINT (-87.7101 41.8856),170318368002,IL,Cook,Chicago,East Garfield Park,269577,"Cook County, Illinois",1774.0,562.0,538.0,9425.0,240000.0,1.24,98.76,0.0,0.0,0.0,37.0,16.0,2.85,6.58,-0.012162162162162163,0.03419972640218878,False,,2,4,6,10,0.5907709836688189,0.49544246107102163
4079069,"3925 W Huron St , Chicago, IL 60624",950,Apt,1.5,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-full-bathroom-rental-Apt/4079069,41.8935,-87.7246,POINT (-87.7246 41.8935),170312315006,IL,Cook,Chicago,East Garfield Park,269577,"Cook County, Illinois",2060.0,346.0,964.0,36667.0,236600.0,0.0,93.11,5.15,0.0,0.0,19.0,10.0,2.89,5.49,-0.012162162162162163,0.03419972640218878,False,,0,0,4,4,0.6042537030003798,0.34428408659323967
4079071,"3334 W Walnut St , Chicago, IL 60624",1200,Apt,1.5,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4079071,41.8856,-87.7101,POINT (-87.7101 41.8856),170318368002,IL,Cook,Chicago,East Garfield Park,269577,"Cook County, Illinois",1774.0,562.0,538.0,9425.0,240000.0,1.24,98.76,0.0,0.0,0.0,37.0,16.0,2.85,6.58,-0.012162162162162163,0.03419972640218878,False,,2,4,6,10,0.5907709836688189,0.49544246107102163
