,Address,Monthly Rent,Property Type,Bath,Bed,Voucher Necessary,Availability,Contact,URL,Lat,Long,Coordinates,GEOID,State,County,City,Name,RegionID,year,eviction-rate,eviction-filing-rate,2011-2015,2015-2019
11,"4948 S Laflin St 1, Chicago, IL 60609",950,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062788,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146,2016,1.47,2.7,0.0,0.08339828526890102
12,"4948 S Laflin St 2, Chicago, IL 60609",950,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062793,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146,2016,1.47,2.7,0.0,0.08339828526890102
13,"1352 W 64th St 1, Chicago, IL 60636",1150,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4062795,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261,2016,2.46,8.48,-0.018268467037331215,0.0744336569579288
14,"6024 S St Lawrnc Ave 2, Chicago, IL 60637",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062806,41.785,-87.6112,POINT (-87.6112 41.785),170314206001,IL,Cook,Chicago,West Woodlawn,403353,2016,2.81,8.15,-0.04661654135338346,0.026813880126182965
15,"6024 S St Lawrnc Ave 3, Chicago, IL 60637",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062807,41.785,-87.6112,POINT (-87.6112 41.785),170314206001,IL,Cook,Chicago,West Woodlawn,403353,2016,2.81,8.15,-0.04661654135338346,0.026813880126182965
16,"6621 S Marshfield Ave 1, Chicago, IL 60636",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062810,41.7733,-87.665,POINT (-87.66500000000001 41.7733),170316715001,IL,Cook,Chicago,West Englewood,269612,2016,4.1,10.66,0.0024813895781637717,0.11303630363036303
17,"6621 S Marshfield Ave 2, Chicago, IL 60636",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062811,41.7733,-87.665,POINT (-87.66500000000001 41.7733),170316715001,IL,Cook,Chicago,West Englewood,269612,2016,4.1,10.66,0.0024813895781637717,0.11303630363036303
18,"6718 S Clyde Ave 3s, Chicago, IL 60649",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062815,41.7728663,-87.5742095,POINT (-87.57420949999999 41.7728663),170314301014,IL,Cook,Chicago,South Shore,269608,2016,4.05,10.93,-0.028191072826938137,0.038678485092667206
19,"6805 S Langley Ave 1, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062817,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356,2016,0.76,2.65,-0.023148148148148147,0.06398104265402843
20,"6805 S Langley Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062818,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356,2016,0.76,2.65,-0.023148148148148147,0.06398104265402843
21,"6805 S Langley Ave 3, Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062819,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356,2016,0.76,2.65,-0.023148148148148147,0.06398104265402843
22,"7136 S East End Ave 3n, Chicago, IL 60649",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062822,41.7649399,-87.5839979,POINT (-87.5839979 41.7649399),170314305003,IL,Cook,Chicago,South Shore,269608,2016,4.6,9.2,-0.028191072826938137,0.038678485092667206
23,"7136 S East End Ave 3s, Chicago, IL 60649",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062827,41.7649399,-87.5839979,POINT (-87.5839979 41.7649399),170314305003,IL,Cook,Chicago,South Shore,269608,2016,4.6,9.2,-0.028191072826938137,0.038678485092667206
24,"8200 S Escanaba Ave 2r, Chicago, IL 60617",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062830,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437,2016,2.99,5.97,0.02642113690952762,0.06708268330733229
25,"8200 S Escanaba Ave A, Chicago, IL 60617",1300,Apt,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Apt/4062832,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437,2016,2.99,5.97,0.02642113690952762,0.06708268330733229
26,"8921 S Exchange Ave 1, Chicago, IL 60617",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062834,41.733001,-87.5522979,POINT (-87.5522979 41.733001),170318339001,IL,Cook,Chicago,South Chicago,140437,2016,1.75,5.25,0.02642113690952762,0.06708268330733229
27,"8921 S Exchange Ave 2, Chicago, IL 60617",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062835,41.733001,-87.5522979,POINT (-87.5522979 41.733001),170318339001,IL,Cook,Chicago,South Chicago,140437,2016,1.75,5.25,0.02642113690952762,0.06708268330733229
28,"7810 S Burnham Ave , Chicago, IL 60649",1350,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062836,41.7533,-87.5574,POINT (-87.5574 41.7533),170314313011,IL,Cook,Chicago,South Shore,269608,2016,3.09,6.19,-0.028191072826938137,0.038678485092667206
29,"5722 S La Salle St 1, Chicago, IL 60621",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062839,41.7903,-87.6296,POINT (-87.6296 41.7903),170318346004,IL,Cook,Chicago,Englewood,138261,2016,2.35,5.1,-0.018268467037331215,0.0744336569579288
30,"6832 S Dorchester Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062841,41.7705,-87.5914,POINT (-87.59139999999999 41.7705),170314303003,IL,Cook,Chicago,Grand Crossing,276349,2016,1.14,4.55,-0.02107728337236534,0.058213716108452954
31,"7746 S Greenwood Ave 2, Chicago, IL 60619",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062844,41.7536,-87.5983,POINT (-87.59829999999999 41.7536),170316915002,IL,Cook,Chicago,Grand Crossing,276349,2016,1.76,8.82,-0.02107728337236534,0.058213716108452954
32,"6141 S Eberhart Ave 1, Chicago, IL 60637",1350,Apt,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-Apt/4062846,41.7827,-87.6129,POINT (-87.6129 41.7827),170314206002,IL,Cook,Chicago,West Woodlawn,403353,2016,1.42,6.86,-0.04661654135338346,0.026813880126182965
33,"2023 N Drake Ave 3s, Chicago, IL 60647",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062847,41.918,-87.715,POINT (-87.715 41.918),170312210002,IL,Cook,Chicago,Logan Square,269592,2016,0.54,2.16,0.07522697795071336,0.038600723763570564
34,"1306 E 69th St , Chicago, IL 60637",1350,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062848,41.7702,-87.5936,POINT (-87.5936 41.7702),170318418002,IL,Cook,Chicago,Grand Crossing,276349,2016,2.34,6.23,-0.02107728337236534,0.058213716108452954
35,"6832 S Prairie Ave , Chicago, IL 60637",1150,House,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-House/4062862,41.7701,-87.619,POINT (-87.619 41.7701),170316904001,IL,Cook,Chicago,Park Manor,403356,2016,0.45,4.55,-0.023148148148148147,0.06398104265402843
36,"3638 W Thomas St 2, Chicago, IL 60651",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4063978,41.90104,-87.717954,POINT (-87.71795400000001 41.90104),170312312001,IL,Cook,Chicago,Humboldt Park,269585,2016,1.49,8.58,0.05357142857142857,0.031387319522912745
37,"6110 S Vernon Ave G, Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4064659,41.7835,-87.6147,POINT (-87.6147 41.7835),170314206001,IL,Cook,Chicago,West Woodlawn,403353,2016,2.81,8.15,-0.04661654135338346,0.026813880126182965
38,"6022 S Rhodes Ave , Chicago, IL 60637",1200,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4064660,41.7851,-87.6124,POINT (-87.61239999999999 41.7851),170314206001,IL,Cook,Chicago,West Woodlawn,403353,2016,2.81,8.15,-0.04661654135338346,0.026813880126182965
39,"8241 S Brandon Ave , Chicago, IL 60617",1200,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4066519,41.745393,-87.54634,POINT (-87.54634 41.745393),170314601001,IL,Cook,Chicago,The Bush,403359,2016,2.23,6.7,,
40,"7515 S Rhodes Ave , Chicago, IL 60619",1350,House,2.5,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-full-bathroom-rental-House/4068050,41.758,-87.6111,POINT (-87.61109999999999 41.758),170316914004,IL,Cook,Chicago,Chatham,273222,2016,2.22,3.89,-0.003000750187546887,0.08653122648607976
41,"6730 S Laflin St , Chicago, IL 60636",1250,House,1.5,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4068790,41.7713,-87.6619,POINT (-87.6619 41.7713),170316716003,IL,Cook,Chicago,Englewood,138261,2016,0.91,4.55,-0.018268467037331215,0.0744336569579288
42,"7121 S Greenwood Ave 1, Chicago, IL 60619",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4069492,41.765327,-87.597898,POINT (-87.597898 41.765327),170318418002,IL,Cook,Chicago,Grand Crossing,276349,2016,2.34,6.23,-0.02107728337236534,0.058213716108452954
43,"6110 S Vernon Ave , Chicago, IL 60637",1250,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4076796,41.7835,-87.6147,POINT (-87.6147 41.7835),170314206001,IL,Cook,Chicago,West Woodlawn,403353,2016,2.81,8.15,-0.04661654135338346,0.026813880126182965
44,"3334 W Walnut St , Chicago, IL 60624",1150,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4077614,41.8856,-87.7101,POINT (-87.7101 41.8856),170318368002,IL,Cook,Chicago,East Garfield Park,269577,2016,2.85,6.58,-0.012162162162162163,0.03419972640218878
45,"3925 W Huron St , Chicago, IL 60624",950,Apt,1.5,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-full-bathroom-rental-Apt/4079069,41.8935,-87.7246,POINT (-87.7246 41.8935),170312315006,IL,Cook,Chicago,East Garfield Park,269577,2016,2.89,5.49,-0.012162162162162163,0.03419972640218878
46,"3334 W Walnut St , Chicago, IL 60624",1200,Apt,1.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4079071,41.8856,-87.7101,POINT (-87.7101 41.8856),170318368002,IL,Cook,Chicago,East Garfield Park,269577,2016,2.85,6.58,-0.012162162162162163,0.03419972640218878
47,"1000 N Lawndale Ave , Chicago, IL 60651",850,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4079507,41.8992,-87.7191,POINT (-87.7191 41.8992),170312312001,IL,Cook,Chicago,Humboldt Park,269585,2016,1.49,8.58,0.05357142857142857,0.031387319522912745
48,"9208 S Ellis Ave , Chicago, IL 60619",1500,House,1.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-1-bathroom-rental-House/4082746,41.7273,-87.6001,POINT (-87.6001 41.7273),170314701001,IL,Cook,Chicago,Burnside,137634,2016,1.57,10.99,0.01499605367008682,0.09720062208398134
49,"3000 W Marquette Rd , Chicago, IL 60629",650,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4091177,41.7719,-87.6985,POINT (-87.6985 41.7719),170316608005,IL,Cook,Chicago,Marquette Park,403148,2016,2.76,8.84,0.029065200314218383,0.1
50,"3000 W Marquette Rd , Chicago, IL 60629",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4091179,41.7719,-87.6985,POINT (-87.6985 41.7719),170316608005,IL,Cook,Chicago,Marquette Park,403148,2016,2.76,8.84,0.029065200314218383,0.1
51,"7021 S Woodlawn Ave , Chicago, IL 60637",1600,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4091873,41.7671,-87.5948,POINT (-87.59480000000001 41.7671),170318418002,IL,Cook,Chicago,Grand Crossing,276349,2016,2.34,6.23,-0.02107728337236534,0.058213716108452954
52,"2036 W 68th Pl , Chicago, IL 60636",1200,House,1.5,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-1-full-bathroom-rental-House/4093982,41.7696,-87.6751,POINT (-87.6751 41.7696),170316714002,IL,Cook,Chicago,West Englewood,269612,2016,1.56,2.34,0.0024813895781637717,0.11303630363036303
53,"5228 S Michigan Ave , Chicago, IL 60615",1200,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4094102,41.7992,-87.6226,POINT (-87.62260000000001 41.7992),170318361001,IL,Cook,Chicago,Washington Park,275927,2016,3.91,8.14,-0.03381294964028777,0.0387192851824274
54,"9210 S Ellis Ave , Chicago, IL 60619",1500,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4095166,41.7272,-87.6001,POINT (-87.6001 41.7272),170314701001,IL,Cook,Chicago,Burnside,137634,2016,1.57,10.99,0.01499605367008682,0.09720062208398134
55,"1000 N Lawndale Ave , Chicago, IL 60651",1050,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4098191,41.8992,-87.7192,POINT (-87.7192 41.8992),170312312001,IL,Cook,Chicago,Humboldt Park,269585,2016,1.49,8.58,0.05357142857142857,0.031387319522912745
56,"6110 S Maplewood Ave 1, Chicago, IL 60629",1100,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4108762,41.7825,-87.6877,POINT (-87.68770000000001 41.7825),170318350004,IL,Cook,Chicago,Chicago Lawn,269576,2016,1.82,3.42,0.04265402843601896,0.09393939393939393
57,"118 E 59th St , Chicago, IL 60637",1200,House,2.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-full-bathroom-rental-House/4108767,41.7877,-87.6214,POINT (-87.62139999999999 41.7877),170314005002,IL,Cook,Chicago,Washington Park,275927,2016,3.63,8.16,-0.03381294964028777,0.0387192851824274
58,"6133 S Indiana Ave , Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4114480,41.782053,-87.621334,POINT (-87.621334 41.782053),170314008002,IL,Cook,Chicago,Washington Park,275927,2016,3.71,6.94,-0.03381294964028777,0.0387192851824274
59,"7651 S Langley Ave , Chicago, IL 60619",1400,House,1.5,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4115673,41.7553,-87.6074,POINT (-87.6074 41.7553),170316914001,IL,Cook,Chicago,Chatham,273222,2016,3.95,6.58,-0.003000750187546887,0.08653122648607976
60,"9528 S Avenue N 2, Chicago, IL 60617",800,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4120440,41.7224327,-87.5389131,POINT (-87.5389131 41.7224327),170315202001,IL,Cook,Chicago,East Side,138166,2016,1.41,6.1,0.04523026315789474,0.10700236034618411
61,"1504 S Hamlin Ave , Chicago, IL 60623",1050,Apt,1.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4122266,41.8605,-87.7205,POINT (-87.7205 41.8605),170318387002,IL,Cook,Chicago,Archer Heights,269568,2016,3.44,9.92,-0.015256588072122053,0.06267605633802817
62,"7201 S Vincennes Ave , Chicago, IL 60621",850,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4138368,41.7634,-87.6286,POINT (-87.62860000000001 41.7634),170316911004,IL,Cook,Chicago,Park Manor,403356,2016,0.96,4.79,-0.023148148148148147,0.06398104265402843
63,"7201 S Vincennes Ave , Chicago, IL 60621",800,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138375,41.7634,-87.6286,POINT (-87.62860000000001 41.7634),170316911004,IL,Cook,Chicago,Park Manor,403356,2016,0.96,4.79,-0.023148148148148147,0.06398104265402843
64,"6751 S Chappel Ave , Chicago, IL 60649",800,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138452,41.7719,-87.5749,POINT (-87.5749 41.7719),170314301014,IL,Cook,Chicago,South Shore,269608,2016,4.05,10.93,-0.028191072826938137,0.038678485092667206
65,"1418 E 67th Pl , Chicago, IL 60637",1000,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4138461,41.773,-87.5908,POINT (-87.5908 41.773),170314303001,IL,Cook,Chicago,Grand Crossing,276349,2016,2.9,7.73,-0.02107728337236534,0.058213716108452954
66,"1418 E 67th Pl , Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138465,41.773,-87.5908,POINT (-87.5908 41.773),170314303001,IL,Cook,Chicago,Grand Crossing,276349,2016,2.9,7.73,-0.02107728337236534,0.058213716108452954
67,"9101 S Cottage Grove Ave , Chicago, IL 60619",850,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4138469,41.7293,-87.6046,POINT (-87.6046 41.7293),170314408002,IL,Cook,Chicago,Burnside,137634,2016,3.25,8.66,0.01499605367008682,0.09720062208398134
68,"9101 S Cottage Grove Ave , Chicago, IL 60619",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138471,41.7293,-87.6046,POINT (-87.6046 41.7293),170314408002,IL,Cook,Chicago,Burnside,137634,2016,3.25,8.66,0.01499605367008682,0.09720062208398134
