,Address,Monthly Rent,Property Type,Bath,Bed,Voucher Necessary,Availability,Contact,URL,Lat,Long,Coordinates,GEOID,State,County,City,Name,RegionID
4062827,"7136 S East End Ave 3s, Chicago, IL 60649",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062827,41.7649399,-87.5839979,POINT (-87.5839979 41.7649399),170314305003,IL,Cook,Chicago,South Shore,269608
4062830,"8200 S Escanaba Ave 2r, Chicago, IL 60617",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062830,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437
4062832,"8200 S Escanaba Ave A, Chicago, IL 60617",1300,Apt,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Apt/4062832,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437
4062834,"8921 S Exchange Ave 1, Chicago, IL 60617",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062834,41.733001,-87.5522979,POINT (-87.5522979 41.733001),170318339001,IL,Cook,Chicago,South Chicago,140437
4062835,"8921 S Exchange Ave 2, Chicago, IL 60617",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062835,41.733001,-87.5522979,POINT (-87.5522979 41.733001),170318339001,IL,Cook,Chicago,South Chicago,140437
4062836,"7810 S Burnham Ave , Chicago, IL 60649",1350,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062836,41.7533,-87.5574,POINT (-87.5574 41.7533),170314313011,IL,Cook,Chicago,South Shore,269608
4062839,"5722 S La Salle St 1, Chicago, IL 60621",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062839,41.7903,-87.6296,POINT (-87.6296 41.7903),170318346004,IL,Cook,Chicago,Englewood,138261
4062841,"6832 S Dorchester Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062841,41.7705,-87.5914,POINT (-87.59139999999999 41.7705),170314303003,IL,Cook,Chicago,Grand Crossing,276349
4062844,"7746 S Greenwood Ave 2, Chicago, IL 60619",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062844,41.7536,-87.5983,POINT (-87.59829999999999 41.7536),170316915002,IL,Cook,Chicago,Grand Crossing,276349
4062846,"6141 S Eberhart Ave 1, Chicago, IL 60637",1350,Apt,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-Apt/4062846,41.7827,-87.6129,POINT (-87.6129 41.7827),170314206002,IL,Cook,Chicago,West Woodlawn,403353
4062847,"2023 N Drake Ave 3s, Chicago, IL 60647",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062847,41.918,-87.715,POINT (-87.715 41.918),170312210002,IL,Cook,Chicago,Logan Square,269592
4062848,"1306 E 69th St , Chicago, IL 60637",1350,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062848,41.7702,-87.5936,POINT (-87.5936 41.7702),170318418002,IL,Cook,Chicago,Grand Crossing,276349
4062862,"6832 S Prairie Ave , Chicago, IL 60637",1150,House,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-House/4062862,41.7701,-87.619,POINT (-87.619 41.7701),170316904001,IL,Cook,Chicago,Park Manor,403356
4063978,"3638 W Thomas St 2, Chicago, IL 60651",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4063978,41.90104,-87.717954,POINT (-87.71795400000001 41.90104),170312312001,IL,Cook,Chicago,Humboldt Park,269585
4064659,"6110 S Vernon Ave G, Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4064659,41.7835,-87.6147,POINT (-87.6147 41.7835),170314206001,IL,Cook,Chicago,West Woodlawn,403353
4064660,"6022 S Rhodes Ave , Chicago, IL 60637",1200,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4064660,41.7851,-87.6124,POINT (-87.61239999999999 41.7851),170314206001,IL,Cook,Chicago,West Woodlawn,403353
4066519,"8241 S Brandon Ave , Chicago, IL 60617",1200,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4066519,41.745393,-87.54634,POINT (-87.54634 41.745393),170314601001,IL,Cook,Chicago,The Bush,403359
4068050,"7515 S Rhodes Ave , Chicago, IL 60619",1350,House,2.5,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-full-bathroom-rental-House/4068050,41.758,-87.6111,POINT (-87.61109999999999 41.758),170316914004,IL,Cook,Chicago,Chatham,273222
4068790,"6730 S Laflin St , Chicago, IL 60636",1250,House,1.5,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4068790,41.7713,-87.6619,POINT (-87.6619 41.7713),170316716003,IL,Cook,Chicago,Englewood,138261
4069492,"7121 S Greenwood Ave 1, Chicago, IL 60619",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4069492,41.765327,-87.597898,POINT (-87.597898 41.765327),170318418002,IL,Cook,Chicago,Grand Crossing,276349
4076796,"6110 S Vernon Ave , Chicago, IL 60637",1250,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4076796,41.7835,-87.6147,POINT (-87.6147 41.7835),170314206001,IL,Cook,Chicago,West Woodlawn,403353
4077614,"3334 W Walnut St , Chicago, IL 60624",1150,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4077614,41.8856,-87.7101,POINT (-87.7101 41.8856),170318368002,IL,Cook,Chicago,East Garfield Park,269577
4079069,"3925 W Huron St , Chicago, IL 60624",950,Apt,1.5,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-full-bathroom-rental-Apt/4079069,41.8935,-87.7246,POINT (-87.7246 41.8935),170312315006,IL,Cook,Chicago,East Garfield Park,269577
4079071,"3334 W Walnut St , Chicago, IL 60624",1200,Apt,1.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4079071,41.8856,-87.7101,POINT (-87.7101 41.8856),170318368002,IL,Cook,Chicago,East Garfield Park,269577
4079507,"1000 N Lawndale Ave , Chicago, IL 60651",850,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4079507,41.8992,-87.7191,POINT (-87.7191 41.8992),170312312001,IL,Cook,Chicago,Humboldt Park,269585
4082746,"9208 S Ellis Ave , Chicago, IL 60619",1500,House,1.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-1-bathroom-rental-House/4082746,41.7273,-87.6001,POINT (-87.6001 41.7273),170314701001,IL,Cook,Chicago,Burnside,137634
4091177,"3000 W Marquette Rd , Chicago, IL 60629",650,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4091177,41.7719,-87.6985,POINT (-87.6985 41.7719),170316608005,IL,Cook,Chicago,Marquette Park,403148
4091179,"3000 W Marquette Rd , Chicago, IL 60629",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4091179,41.7719,-87.6985,POINT (-87.6985 41.7719),170316608005,IL,Cook,Chicago,Marquette Park,403148
4091873,"7021 S Woodlawn Ave , Chicago, IL 60637",1600,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4091873,41.7671,-87.5948,POINT (-87.59480000000001 41.7671),170318418002,IL,Cook,Chicago,Grand Crossing,276349
4093982,"2036 W 68th Pl , Chicago, IL 60636",1200,House,1.5,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-1-full-bathroom-rental-House/4093982,41.7696,-87.6751,POINT (-87.6751 41.7696),170316714002,IL,Cook,Chicago,West Englewood,269612
4094102,"5228 S Michigan Ave , Chicago, IL 60615",1200,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4094102,41.7992,-87.6226,POINT (-87.62260000000001 41.7992),170318361001,IL,Cook,Chicago,Washington Park,275927
4095166,"9210 S Ellis Ave , Chicago, IL 60619",1500,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4095166,41.7272,-87.6001,POINT (-87.6001 41.7272),170314701001,IL,Cook,Chicago,Burnside,137634
4098191,"1000 N Lawndale Ave , Chicago, IL 60651",1050,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4098191,41.8992,-87.7192,POINT (-87.7192 41.8992),170312312001,IL,Cook,Chicago,Humboldt Park,269585
4108762,"6110 S Maplewood Ave 1, Chicago, IL 60629",1100,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4108762,41.7825,-87.6877,POINT (-87.68770000000001 41.7825),170318350004,IL,Cook,Chicago,Chicago Lawn,269576
4108767,"118 E 59th St , Chicago, IL 60637",1200,House,2.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-full-bathroom-rental-House/4108767,41.7877,-87.6214,POINT (-87.62139999999999 41.7877),170314005002,IL,Cook,Chicago,Washington Park,275927
4114480,"6133 S Indiana Ave , Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4114480,41.782053,-87.621334,POINT (-87.621334 41.782053),170314008002,IL,Cook,Chicago,Washington Park,275927
4115673,"7651 S Langley Ave , Chicago, IL 60619",1400,House,1.5,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4115673,41.7553,-87.6074,POINT (-87.6074 41.7553),170316914001,IL,Cook,Chicago,Chatham,273222
4120440,"9528 S Avenue N 2, Chicago, IL 60617",800,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4120440,41.7224327,-87.5389131,POINT (-87.5389131 41.7224327),170315202001,IL,Cook,Chicago,East Side,138166
4122266,"1504 S Hamlin Ave , Chicago, IL 60623",1050,Apt,1.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4122266,41.8605,-87.7205,POINT (-87.7205 41.8605),170318387002,IL,Cook,Chicago,Archer Heights,269568
4138368,"7201 S Vincennes Ave , Chicago, IL 60621",850,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4138368,41.7634,-87.6286,POINT (-87.62860000000001 41.7634),170316911004,IL,Cook,Chicago,Park Manor,403356
4138375,"7201 S Vincennes Ave , Chicago, IL 60621",800,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138375,41.7634,-87.6286,POINT (-87.62860000000001 41.7634),170316911004,IL,Cook,Chicago,Park Manor,403356
4138452,"6751 S Chappel Ave , Chicago, IL 60649",800,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138452,41.7719,-87.5749,POINT (-87.5749 41.7719),170314301014,IL,Cook,Chicago,South Shore,269608
4138461,"1418 E 67th Pl , Chicago, IL 60637",1000,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4138461,41.773,-87.5908,POINT (-87.5908 41.773),170314303001,IL,Cook,Chicago,Grand Crossing,276349
4138465,"1418 E 67th Pl , Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138465,41.773,-87.5908,POINT (-87.5908 41.773),170314303001,IL,Cook,Chicago,Grand Crossing,276349
4138469,"9101 S Cottage Grove Ave , Chicago, IL 60619",850,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4138469,41.7293,-87.6046,POINT (-87.6046 41.7293),170314408002,IL,Cook,Chicago,Burnside,137634
4138471,"9101 S Cottage Grove Ave , Chicago, IL 60619",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138471,41.7293,-87.6046,POINT (-87.6046 41.7293),170314408002,IL,Cook,Chicago,Burnside,137634
4141218,"8046 S Marquette Ave , Chicago, IL 60617",1200,Apt,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Apt/4141218,41.7486,-87.5592,POINT (-87.5592 41.7486),170314603022,IL,Cook,Chicago,South Chicago,140437
4141220,"8426 S Kerfoot Ave , Chicago, IL 60620",1500,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4141220,41.7406,-87.6401,POINT (-87.6401 41.7406),170317109002,IL,Cook,Chicago,Gresham,269571
4142397,"8834 S Exchange Ave , Chicago, IL 60617",950,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4142397,41.7345,-87.5531,POINT (-87.5531 41.7345),170314607002,IL,Cook,Chicago,South Chicago,140437
4146411,"6832 S Dorchester Ave , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146411,41.7705,-87.5914,POINT (-87.59139999999999 41.7705),170314303003,IL,Cook,Chicago,Grand Crossing,276349
4146413,"6618 S Marquette Rd , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146413,41.7742,-87.6133,POINT (-87.6133 41.7742),170314207005,IL,Cook,Chicago,West Woodlawn,403353
4146417,"6936 S Kimbark Ave , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146417,41.7688,-87.5943,POINT (-87.5943 41.7688),170318418002,IL,Cook,Chicago,Grand Crossing,276349
4146422,"1307 E 69th St , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146422,41.7696,-87.5937,POINT (-87.5937 41.7696),170318418002,IL,Cook,Chicago,Grand Crossing,276349
4146428,"6149 S Campbell Ave , Chicago, IL 60629",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146428,41.7814,-87.686,POINT (-87.68600000000001 41.7814),170318350002,IL,Cook,Chicago,Chicago Lawn,269576
4146438,"7111 S Ingleside Ave , Chicago, IL 60619",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146438,41.7655,-87.6015,POINT (-87.6015 41.7655),170318418002,IL,Cook,Chicago,Grand Crossing,276349
4146444,"7019 S Dante Ave , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146444,41.7673,-87.589,POINT (-87.589 41.7673),170314303002,IL,Cook,Chicago,Grand Crossing,276349
4146450,"5459 W Walton St , Chicago, IL 60651",1100,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4146450,41.8973,-87.763,POINT (-87.76300000000001 41.8973),170312512003,IL,Cook,Chicago,South Austin,403120
