,Address,Monthly Rent,Property Type,Bath,Bed,Voucher Necessary,Availability,Contact,URL,Lat,Long
4062841,"6832 S Dorchester Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062841,41.7705,-87.5914
4062844,"7746 S Greenwood Ave 2, Chicago, IL 60619",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062844,41.7536,-87.5983
4062846,"6141 S Eberhart Ave 1, Chicago, IL 60637",1350,Apt,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-Apt/4062846,41.7827,-87.6129
4062847,"2023 N Drake Ave 3s, Chicago, IL 60647",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062847,41.918,-87.715
4062848,"1306 E 69th St , Chicago, IL 60637",1350,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4062848,41.7702,-87.5936
4062862,"6832 S Prairie Ave , Chicago, IL 60637",1150,House,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-House/4062862,41.7701,-87.619
4063978,"3638 W Thomas St 2, Chicago, IL 60651",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4063978,41.90104,-87.717954
4064659,"6110 S Vernon Ave G, Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4064659,41.7835,-87.6147
4064660,"6022 S Rhodes Ave , Chicago, IL 60637",1200,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4064660,41.7851,-87.6124
4066519,"8241 S Brandon Ave , Chicago, IL 60617",1200,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4066519,41.745393,-87.54634
4068050,"7515 S Rhodes Ave , Chicago, IL 60619",1350,House,2.5,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-full-bathroom-rental-House/4068050,41.758,-87.6111
4068790,"6730 S Laflin St , Chicago, IL 60636",1250,House,1.5,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4068790,41.7713,-87.6619
4069492,"7121 S Greenwood Ave 1, Chicago, IL 60619",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4069492,41.765327,-87.597898
4076796,"6110 S Vernon Ave , Chicago, IL 60637",1250,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4076796,41.7835,-87.6147
4077614,"3334 W Walnut St , Chicago, IL 60624",1150,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4077614,41.8856,-87.7101
4079069,"3925 W Huron St , Chicago, IL 60624",950,Apt,1.5,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-full-bathroom-rental-Apt/4079069,41.8935,-87.7246
4079071,"3334 W Walnut St , Chicago, IL 60624",1200,Apt,1.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4079071,41.8856,-87.7101
4079507,"1000 N Lawndale Ave , Chicago, IL 60651",850,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4079507,41.8992,-87.7191
4082746,"9208 S Ellis Ave , Chicago, IL 60619",1500,House,1.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-1-bathroom-rental-House/4082746,41.7273,-87.6001
4091177,"3000 W Marquette Rd , Chicago, IL 60629",650,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4091177,41.7719,-87.6985
4091179,"3000 W Marquette Rd , Chicago, IL 60629",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4091179,41.7719,-87.6985
4091873,"7021 S Woodlawn Ave , Chicago, IL 60637",1600,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4091873,41.7671,-87.5948
4093982,"2036 W 68th Pl , Chicago, IL 60636",1200,House,1.5,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-1-full-bathroom-rental-House/4093982,41.7696,-87.6751
4094102,"5228 S Michigan Ave , Chicago, IL 60615",1200,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4094102,41.7992,-87.6226
4095166,"9210 S Ellis Ave , Chicago, IL 60619",1500,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4095166,41.7272,-87.6001
4098191,"1000 N Lawndale Ave , Chicago, IL 60651",1050,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4098191,41.8992,-87.7192
4108762,"6110 S Maplewood Ave 1, Chicago, IL 60629",1100,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4108762,41.7825,-87.6877
4108767,"118 E 59th St , Chicago, IL 60637",1200,House,2.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-full-bathroom-rental-House/4108767,41.7877,-87.6214
4114480,"6133 S Indiana Ave , Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4114480,41.782053,-87.621334
4115673,"7651 S Langley Ave , Chicago, IL 60619",1400,House,1.5,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-House/4115673,41.7553,-87.6074
4120440,"9528 S Avenue N 2, Chicago, IL 60617",800,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4120440,41.7224327,-87.5389131
4122266,"1504 S Hamlin Ave , Chicago, IL 60623",1050,Apt,1.5,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4122266,41.8605,-87.7205
4138368,"7201 S Vincennes Ave , Chicago, IL 60621",850,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4138368,41.7634,-87.6286
4138375,"7201 S Vincennes Ave , Chicago, IL 60621",800,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138375,41.7634,-87.6286
4138452,"6751 S Chappel Ave , Chicago, IL 60649",800,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138452,41.7719,-87.5749
4138461,"1418 E 67th Pl , Chicago, IL 60637",1000,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4138461,41.773,-87.5908
4138465,"1418 E 67th Pl , Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138465,41.773,-87.5908
4138469,"9101 S Cottage Grove Ave , Chicago, IL 60619",850,Apt,1.0,1.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4138469,41.7293,-87.6046
4138471,"9101 S Cottage Grove Ave , Chicago, IL 60619",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4138471,41.7293,-87.6046
4141218,"8046 S Marquette Ave , Chicago, IL 60617",1200,Apt,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Apt/4141218,41.7486,-87.5592
4141220,"8426 S Kerfoot Ave , Chicago, IL 60620",1500,House,2.0,6.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/6-bedroom-2-bathroom-rental-House/4141220,41.7406,-87.6401
4142397,"8834 S Exchange Ave , Chicago, IL 60617",950,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4142397,41.7345,-87.5531
4146411,"6832 S Dorchester Ave , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146411,41.7705,-87.5914
4146413,"6618 S Marquette Rd , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146413,41.7742,-87.6133
4146417,"6936 S Kimbark Ave , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146417,41.7688,-87.5943
4146422,"1307 E 69th St , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146422,41.7696,-87.5937
4146428,"6149 S Campbell Ave , Chicago, IL 60629",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146428,41.7814,-87.686
4146438,"7111 S Ingleside Ave , Chicago, IL 60619",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146438,41.7655,-87.6015
4146444,"7019 S Dante Ave , Chicago, IL 60637",900,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4146444,41.7673,-87.589
4146450,"5459 W Walton St , Chicago, IL 60651",1100,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4146450,41.8973,-87.763
4155736,"1133 W 110th Pl , Chicago, IL 60643",1500,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4155736,41.6929,-87.651
4156258,"1249 W 108th Pl , Chicago, IL 60643",950,House,2.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-2-bathroom-rental-House/4156258,41.6965,-87.6542
4158429,"640 N Troy St 2, Chicago, IL 60612",1000,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4158429,41.893132,-87.705579
4159303,"8109 S Muskegon Ave 1, Chicago, IL 60617",1100,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4159303,41.7479,-87.5549
4160923,"7111 S Eberhart Ave 1fl, Chicago, IL 60619",1000,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4160923,41.7653,-87.6125
4172183,"1347 S Avers Ave 1, Chicago, IL 60623",950,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4172183,41.863,-87.7211
4175158,"3617 W Grenshaw St  2, Chicago, IL 60624",1250,Apt,1.0,3.0,Yes,Available Now,(312) 434-6976,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4175158,41.8671,-87.7162
4177197,"6618 S Maryland Ave 2, Chicago, IL 60637",1100,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4177197,41.774361,-87.604922
4180384,"1547 S Kolin Ave Apt, Chicago, IL 60623",1100,Apt,1.0,2.0,Yes,Available Now,(312) 434-6976,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4180384,41.8592,-87.7333
4186196,"7020 S Stewart Ave 1, Chicago, IL 60621",1100,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4186196,41.7664479,-87.634343
4186729,"3717 W Ohio St 2, Chicago, IL 60624",1200,Apt,1.0,3.0,Yes,Available Now,(708) 749-8000,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4186729,41.8915,-87.7193
4187220,"5842 S May St , Chicago, IL 60621",1250,Apt,1.0,5.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-1-bathroom-rental-Apt/4187220,41.787401,-87.653844
4188415,"8040 S Maryland Ave 3, Chicago, IL 60619",1075,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4188415,41.748245,-87.604218
4188550,"636 N Lavergne Ave 2n, Chicago, IL 60644",1000,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4188550,41.8924258,-87.7506069
4191152,"4926 S Vincennes Ave , Chicago, IL 60615",1500,Apt,2.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4191152,41.8049469,-87.6138569
4193334,"8200 S Maryland Ave , Chicago, IL 60619",1025,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4193334,41.745601,-87.604151
4193335,"8200 S Maryland Ave , Chicago, IL 60619",925,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4193335,41.745601,-87.604151
4194938,"8929 S Buffalo Ave 1, Chicago, IL 60617",1200,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4194938,41.732903,-87.543948
4198402,"5437 S Laflin St , Chicago, IL 60609",1050,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4198402,41.7948,-87.662
4198409,"11807 S Emerald Ave , Chicago, IL 60628",1250,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4198409,41.6794,-87.6404
4198412,"8006 S Ingleside Ave , Chicago, IL 60619",1400,House,2.0,5.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/5-bedroom-2-bathroom-rental-House/4198412,41.7492,-87.6018
4198415,"7822 S Ingleside Ave , Chicago, IL 60619",1300,House,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-House/4198415,41.7524,-87.6019
4198417,"8622 S Marquette Ave , Chicago, IL 60617",1400,House,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-House/4198417,41.7383,-87.5591
4198418,"3640 W Thomas St , Chicago, IL 60651",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4198418,41.901038,-87.718187
4200448,"7715 S South Shore Dr , Chicago, IL 60649",780,Apt,1.0,1.0,Yes,Available Now,(312) 361-3145,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4200448,41.7567,-87.5529
4204761,"646 W 61st St 1  , Chicago, IL 60621",1200,Apt,1.5,4.0,Yes,Available Now,(708) 257-6009,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-Apt/4204761,41.7837,-87.6419
4205319,"3509 S Western Blvd 2, Chicago, IL 60609",1000,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4205319,41.829962,-87.684023
4205392,"1208 W 52nd St 1, Chicago, IL 60609",950,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4205392,41.799874,-87.6554589
