,Address,Monthly Rent,Property Type,Bath,Bed,Availability,Contact,URL,State,County,City,Neighborhood,2016_evict_rate,er_percentile,2016_evict_filing_rate,efr_percentile,2011-2015_rent_perc_change,2015-2019_rent_perc_change,potential_bad_landlord,bad_landlord_address,num_stops_quart_mi,num_stops_half_mi,num_stops_3quart_mi,num_stops_1_mi
1122,"814 E 67th St , Chicago, IL 60637",1180,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4602890,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
1237,"6357 S Greenwood Ave , Chicago, IL 60637",1100,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4611417,IL,Cook,Chicago,Woodlawn,0.69,0.0994113178883403,1.74,0.035700721610330416,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
1468,"6517 S University Ave , Chicago, IL 60637",1200,Apt,1.0,3.0,Available Now,(773) 288-6771,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4632119,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
1527,"6516 S Maryland Ave  1, Chicago, IL 60637",1050,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4636816,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
1589,"6619 S Greenwood Ave , Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(312) 852-3387,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4641459,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1607,"6625 S Greenwood Ave 2, Chicago, IL 60637",1100,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4643217,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1625,"6516 S Drexel Ave , Chicago, IL 60637",1080,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4645144,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
1709,"6619 S Greenwood Ave , Chicago, IL 60637",1050,Apt,1.0,2.0,Available Now,(844) 333-9700,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4650807,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1746,"6623 S Greenwood Ave 3a, Chicago, IL 60637",1200,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4654172,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1803,"6621 S Greenwood Ave 2, Chicago, IL 60637",1200,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4659369,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1985,"851 E 64th St  2, Chicago, IL 60637",1050,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4673822,IL,Cook,Chicago,Woodlawn,1.72,0.3073490315229776,4.6,0.2378465628560577,-0.027007818052594168,0.024105186267348432,False,,2,2,4,4
2108,"6649 S Blackstone Ave  2, Chicago, IL 60637",1000,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4682426,IL,Cook,Chicago,Woodlawn,0.0,0.0186099506266616,3.66,0.14679073300417775,-0.027007818052594168,0.024105186267348432,False,,0,0,0,2
2416,"1452 E Marquette Rd  2, Chicago, IL 60637",1050,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4707434,IL,Cook,Chicago,Woodlawn,0.0,0.0186099506266616,3.66,0.14679073300417775,-0.027007818052594168,0.024105186267348432,False,,0,0,0,2
2479,"818 E 67th St  2, Chicago, IL 60637",1044,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4713888,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
2480,"6430 S Ellis Ave  2n, Chicago, IL 60637",1100,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4713906,IL,Cook,Chicago,Woodlawn,1.72,0.3073490315229776,4.6,0.2378465628560577,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
2627,"6660 S University Ave 1g, Chicago, IL 60637",1190,Apt,1.0,2.0,Available Now,(847) 414-7330,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4724387,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
2689,"6619 S Greenwood Ave  2, Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(312) 852-3387,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4728399,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
2843,"6611 S Maryland Ave  1, Chicago, IL 60637",1200,Apt,1.0,3.0,Available Now,(312) 852-3387,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4741102,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
2934,"8157 S Dante Ave  , Chicago, IL 60619",1000,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4744964,IL,Cook,Chicago,Avalon Park,0.99,0.16786935055070262,5.94,0.4207178123813141,-0.007418397626112759,0.07698056801195814,False,,0,0,0,0
3023,"1433 E 66th Pl  2, Chicago, IL 60637",1150,Apt,1.0,3.0,Available Now,(312) 388-1784,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4749937,IL,Cook,Chicago,Woodlawn,0.0,0.0186099506266616,3.66,0.14679073300417775,-0.027007818052594168,0.024105186267348432,False,,0,0,0,2
3188,"6625 S Greenwood Ave 2, Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4759254,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
3189,"6619 S Greenwood Ave  3, Chicago, IL 60637",1100,Apt,1.0,2.0,Available Now,(312) 852-3387,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4759282,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
3248,"1131 E 79th Pl  , Chicago, IL 60619",1100,Apt,1.0,1.0,Available Now,(708) 793-7317,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4762338,IL,Cook,Chicago,Avalon Park,5.58,0.9248955563995442,10.66,0.8454234713254842,-0.007418397626112759,0.07698056801195814,False,,0,0,0,0
3408,"6624 S Minerva Ave  2, Chicago, IL 60637",1195,Apt,1.0,3.0,Available Now,(847) 877-6497,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4770773,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,2
3417,"6629 S Drexel Ave  1, Chicago, IL 60637",1200,House,2.0,2.0,Available Now,(708) 578-9198,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-2-bathroom-rental-House/4771414,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
3716,"935 E Marquette Rd 2, Chicago, IL 60637",1150,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4788234,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
4185,"843 E 65th St 2, Chicago, IL 60637",1000,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4804148,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
4202,"6604 S Ingleside Ave 2, Chicago, IL 60637",1100,Apt,1.0,2.0,Available Now,(773) 789-8830,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4804313,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
5192,"6437 S Kenwood Ave 2, Chicago, IL 60637",1100,Apt,1.0,1.0,Available Now,(708) 793-7317,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4832021,IL,Cook,Chicago,Woodlawn,1.84,0.3335548803646031,7.36,0.5914356247626282,-0.027007818052594168,0.024105186267348432,False,,0,0,2,2
5199,"6437 S Kenwood Ave , Chicago, IL 60637",1100,Apt,1.0,1.0,Available Now,(708) 872-5164,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4832114,IL,Cook,Chicago,Woodlawn,1.84,0.3335548803646031,7.36,0.5914356247626282,-0.027007818052594168,0.024105186267348432,False,,0,0,2,2
5201,"6437 S Kenwood Ave , Chicago, IL 60637",1100,Apt,1.0,1.0,Available Now,(708) 872-5164,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4832120,IL,Cook,Chicago,Woodlawn,1.84,0.3335548803646031,7.36,0.5914356247626282,-0.027007818052594168,0.024105186267348432,False,,0,0,2,2
